theta0,theta1
0,0
268.4134743713947,0.000446190810497446
528.3505519450727,0.0008149318099128222
780.0789153853764,0.001112241828768873
1023.8577939299718,0.001343748134469927
1259.9382303532445,0.0015147101593167012
1488.5633394986753,0.001630041838442134
1709.9685586463406,0.0016943326376848075
1924.3818899735545,0.0017118673468758047
2132.0241353583947,0.0016866447097041715
2333.1091237676997,0.0016223949572460872
2527.843931464044,0.0015225963084425295
2716.4290952583106,0.001390490497169529
2899.058819027449,0.001229097382158914
3075.9211737103337,0.001041228692795576
3247.1982909875146,0.0008295009607889731
3413.0665508442635,0.0005963476848793448
3573.6967632104474,0.0003440307729828951
3729.2543438639473,7.465130371854534e-05
3879.8994847788254,-0.0002098403532015125
4025.7873190939295,-0.0005076350204970097
4167.068080871638,-0.0008170557656240023
4303.8872598111275,-0.0011365494887984051
4436.385751075884,-0.0014646790155126016
4564.700000389688,-0.001800115664182679
4688.962144550088,-0.0021416322611816745
4809.300147504406,-0.0024880965771425373
4925.837932128768,-0.002838465159919073
5038.695507844988,-0.0031917775409928753
5147.989094207503,-0.0035471507934526844
5253.831240587428,-0.003903774420939435
5356.3309420769165,-0.00426090555813694
5455.593751732876,-0.0046178644644900985
5551.721889276658,-0.004974030293917603
5644.814346360335,-0.005328837124250993
5734.966988508894,-0.005681770231089281
5822.272653843059,-0.006032362591648677
5906.82124868456,-0.006380191604987423
5988.699840141812,-0.00672487601582231
6067.992745772031,-0.0070660730298456095
6144.78162041175,-0.007403475609192274
6219.145540264967,-0.007736809937327213
6291.161084336077,-0.00806583304328632
6360.902413290986,-0.008390330575744696
6428.441345827949,-0.008710114717986519
6493.847432636134,-0.00902502223531765
6557.1880280192545,-0.009334912647008552
6618.528359256907,-0.009639666515276491
6677.931593775281,-0.009939183844262345
6735.458904197096,-0.010233382582385346
6791.169531337072,-0.01052219722182363
6845.120845207891,-0.010805577489244926
6897.368404099446,-0.011083487122251497
6947.966011792939,-0.011355902726341321
6996.965772967647,-0.011622812707467036
7044.418146858018,-0.011884216275585897
7090.371999216448,-0.012140122514854388
7134.874652634991,-0.012390549516382257
7177.971935277828,-0.012635523569690525
7219.70822807498,-0.012875078409264338
7260.126510425389,-0.013109254512784765
7299.268404456973,-0.013338098447838526
7337.174217888619,-0.013561662264089386
7373.882985539013,-0.013780002928080978
7409.432509524118,-0.01399318179799153
7443.859398185881,-0.014201264135847429
7477.199103790836,-0.014404318654819486
7509.485959038845,-0.014602417099399115
7540.7532124183745,-0.014795633856354956
7571.033062445778,-0.014984045594523609
7600.356690822756,-0.015167730931576442
7628.754294547233,-0.015346770126043427
7656.255117009735,-0.01552124479295184
7682.887478107943,-0.015691237641567376
7708.678803410528,-0.01585683223378851
7733.655652399376,-0.016018112761841913
7757.843745820414,-0.016175163844022348
7781.267992170597,-0.016328070337274916
7803.952513348277,-0.016476917165509315
7825.920669493704,-0.016621789162589513
7847.195083045307,-0.016762770929021623
7867.797662035539,-0.01689994670140227
7887.749622651762,-0.01703340023377332
7907.071511084614,-0.017163214690062465
7925.78322468592,-0.017289472546839744
7943.90403245874,-0.01741225550568508
7961.452594900707,-0.017531644414488002
7978.446983219848,-0.017647719197047402
7994.904697944577,-0.01776055879039249
8010.842686945236,-0.0178702410892542
8026.277362886759,-0.01797684289718487
8041.224620130475,-0.0180804398838344
8055.699851101553,-0.018181106547923414
8069.717962140234,-0.01827891618549788
8083.293388851893,-0.01837394086305885
8096.440110973017,-0.018466251395200667
8109.171666766857,-0.018555917326401668
8121.5011669652795,-0.018643006916651435
8133.441308269911,-0.018727587130598817
8145.004386426997,-0.018809723629947872
8156.202308889489,-0.018889480768824993
8167.046607078978,-0.018966921591875442
8177.548448260777,-0.019042107834856686
8187.7186470435745,-0.01911509992751022
8197.567676516517,-0.019185956998515295
8207.105679033859,-0.01925473688232539
8216.342476659553,-0.01932149612772957
8225.287581281995,-0.019386290007954683
8233.950204409037,-0.01944917253217989
8242.339266653886,-0.01951019645830128
8250.463406921466,-0.019569413306828567
8258.330991304545,-0.019626873375786297
8265.950121699347,-0.019682625756510117
8273.328644148201,-0.01973671835022494
8280.474156919565,-0.019789197885320273
8287.394018332721,-0.019840109935220795
8294.095354334988,-0.01988949893677394
8300.58506584018,-0.019937408209080142
8306.86983583476,-0.01998387997268571
8312.956136260085,-0.020028955369082453
8318.850234677137,-0.020072674480441945
8324.558200720327,-0.020115076349543525
8330.085912348723,-0.020156198999831357
8335.439061898349,-0.02019607945555408
8340.623161944128,-0.02023475376195644
8345.643550977087,-0.02027225700546767
8350.505398901425,-0.020308623333860236
8355.213712358718,-0.02034388597634119
8359.773339883153,-0.020378077263547487
8364.188976895166,-0.02041122864742113
8368.465170535937,-0.020443370720928992
8372.606324350934,-0.020474533237626637
8376.616702823616,-0.020504745131013396
8380.500435767284,-0.020534034533688062
8384.261522578383,-0.020562428796287936
8387.903836354293,-0.020589954506169135
8391.431127881999,-0.020616637505849557
8394.84702950093,-0.020642502911192913
8398.15505884312,-0.020667575129304883
8401.358622455631,-0.020691877876158758
8404.46101930848,-0.020715434193929124
8407.465444192205,-0.020738266468034273
